"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 23 13:09:16 GMT 2021","Mon Aug 23 13:09:38 GMT 2021","22194","","tests.SpotifyTest","","tests.SpotifyTest","ReadPrivacyPolicyTest","ReadPrivacyPolicyTest()",""
"broken","Mon Aug 23 13:09:49 GMT 2021","Mon Aug 23 13:10:01 GMT 2021","11334","","tests.SpotifyTest","","tests.SpotifyTest","LoginToPageTest","LoginToPageTest()",""
"broken","Mon Aug 23 13:08:30 GMT 2021","Mon Aug 23 13:08:42 GMT 2021","11473","","tests.SpotifyTest","","tests.SpotifyTest","WriteTheShowListToFileTest","WriteTheShowListToFileTest()",""
"broken","Mon Aug 23 13:09:04 GMT 2021","Mon Aug 23 13:09:16 GMT 2021","11394","","tests.SpotifyTest","","tests.SpotifyTest","SelectAnExistingListTest","SelectAnExistingListTest()",""
"broken","Mon Aug 23 13:09:38 GMT 2021","Mon Aug 23 13:09:49 GMT 2021","11381","","tests.SpotifyTest","","tests.SpotifyTest","AddShowListTest","AddShowListTest()",""
"broken","Mon Aug 23 13:08:42 GMT 2021","Mon Aug 23 13:08:53 GMT 2021","11415","","tests.SpotifyTest","","tests.SpotifyTest","TopListToListTest","TopListToListTest()",""
"broken","Mon Aug 23 13:08:07 GMT 2021","Mon Aug 23 13:08:19 GMT 2021","11519","","tests.SpotifyTest","","tests.SpotifyTest","SpotifyLogoutTest","SpotifyLogoutTest()",""
"broken","Mon Aug 23 13:07:53 GMT 2021","Mon Aug 23 13:08:07 GMT 2021","13948","","tests.SpotifyTest","","tests.SpotifyTest","DeleteListsTest","DeleteListsTest()",""
"broken","Mon Aug 23 13:08:19 GMT 2021","Mon Aug 23 13:08:30 GMT 2021","11459","","tests.SpotifyTest","","tests.SpotifyTest","AddAMusicToNewListTest","AddAMusicToNewListTest()",""
"broken","Mon Aug 23 13:08:53 GMT 2021","Mon Aug 23 13:09:04 GMT 2021","11339","","tests.SpotifyTest","","tests.SpotifyTest","CreateAnListFromFileTest","CreateAnListFromFileTest()",""
